age,monthly_income,loan_amount,existing_debt,employment,credit_history,loan_term,credit_risk
25,800,7000,3000,Temporary,Poor,36,1
30,1500,5000,1000,Permanent,Good,24,0
45,2500,10000,2000,Permanent,Good,36,0
22,700,6000,2500,Unemployed,Poor,48,1
35,1800,8000,1500,Permanent,Average,24,0
50,1200,9000,5000,Temporary,Poor,48,1
28,1000,4000,800,Permanent,Good,12,0
40,2200,7000,1000,Permanent,Good,24,0
21,600,5000,3000,Unemployed,Poor,60,1
55,3000,15000,4000,Permanent,Good,48,0
32,1400,9000,3500,Self-employed,Average,36,1
29,2000,6000,500,Permanent,Good,24,0
48,1700,12000,6000,Temporary,Poor,48,1
38,2500,5000,500,Permanent,Good,12,0
24,900,7000,2500,Temporary,Average,36,1
42,2800,11000,2000,Permanent,Good,36,0
31,1300,8000,3000,Self-employed,Average,48,1
60,2000,6000,1000,Permanent,Good,24,0
27,1100,5000,1200,Permanent,Average,24,0
36,1600,10000,4500,Temporary,Poor,48,1
33,2300,7000,800,Permanent,Good,24,0
26,750,6000,2800,Unemployed,Poor,36,1
47,1900,8000,1500,Self-employed,Good,36,0
39,2100,9000,2500,Permanent,Average,36,0
23,850,4500,2000,Temporary,Poor,24,1
52,2700,13000,3000,Permanent,Good,48,0
34,1500,7500,2500,Self-employed,Average,36,1
41,3200,10000,1000,Permanent,Good,24,0
58,1400,9000,3500,Temporary,Average,48,1
37,1800,6000,700,Permanent,Good,24,0
